value,unit,rawValue
129.6096682638,degrees,3.60026856288339
130.5984679708,degrees,3.62773522141179
128.0275887326,degrees,3.55632190923795
146.2324900052,degrees,4.06201361125523
124.4569231239,degrees,3.45713675344096
123.8636432997,degrees,3.44065675832392
135.9599597156,degrees,3.77666554765465
151.6599017304,degrees,4.21277504806665
136.718039491,degrees,3.79772331919309
147.6277962584,degrees,4.10077211828974
146.2324900052,degrees,4.06201361125523
152.3191015351,degrees,4.23108615375225
148.1881160924,degrees,4.1163365581225
140.7281716361,degrees,3.90911587878048
147.8145695364,degrees,4.10596026490066
144.6723838008,degrees,4.01867732779931
149.4735557115,degrees,4.15204321420942
142.8156376843,degrees,3.96710104678488
143.6835840938,degrees,3.99121066927091
146.6170232246,degrees,4.07269508957183
162.2510452589,degrees,4.50697347941527
159.9438459426,degrees,4.44288460951567
177.1160008545,degrees,4.91988891262551
163.3277382733,degrees,4.53688161870174
164.0528580584,degrees,4.5570238349559
148.8692892239,degrees,4.13525803399762
143.1891842402,degrees,3.97747734000671
160.7019257179,degrees,4.46394238105411
152.7585680715,degrees,4.24329355754265
164.5912045656,degrees,4.57197790459914
155.7689138462,degrees,4.32691427350688
141.2115848262,degrees,3.92254402294992
178.2476271859,degrees,4.95132297738579
182.8400524918,degrees,5.07889034699545
187.6851710562,degrees,5.2134769737846
177.3906674398,degrees,4.92751853999451
192.1018097476,degrees,5.33616138187811
186.289864803,degrees,5.17471846675008
173.4134952849,degrees,4.8170415356914
188.5201574755,degrees,5.23667104098636
199.0453810236,degrees,5.52903836176641
199.056367687,degrees,5.52934354686117
192.4204229865,degrees,5.34501174962615
187.1138645589,degrees,5.19760734885708
180.5438398389,degrees,5.01510666219062
199.5617542039,degrees,5.54338206122013
215.854976043,degrees,5.99597155674917
214.8991363262,degrees,5.96942045350505
195.1121555223,degrees,5.41978209784234
185.9712515641,degrees,5.16586809900205
199.8364207892,degrees,5.55101168858913
207.7578051088,degrees,5.77105014191107
200.0781273843,degrees,5.55772576067385
190.7614368114,degrees,5.29892880031739
186.8391979736,degrees,5.18997772148808
206.8349253822,degrees,5.74541459395123
203.1763664663,degrees,5.64378795739616
232.6865443892,degrees,6.46351512192145
208.4389782403,degrees,5.78997161778619
205.9230323191,degrees,5.72008423108615
202.8028199103,degrees,5.63341166417432
189.4869838557,degrees,5.26352732932524
211.4603106784,degrees,5.87389751884518
205.9340189825,degrees,5.72038941618091
196.6942350536,degrees,5.46372875148778
